,Topic,Count,Name,Representation,Representative_Docs
24,23,37,23_brain_allen_xac_xef,"['brain', 'allen', 'xac', 'xef', 'mouse', 'neuroscience', 'atlas', 'institute', 'nthe', 'adult']","['Together with associ-\\nated metadata, including eye movements,\\nvideo of the running mice and so on, this\\n\\xef\\xac\\x81rst dataset exceeds 30TB.\\n\\nThe team that built and operates the\\nAllen Brain Observatory numbers one\\nhundred specialists and technicians (not\\nall of whom work full-time on this\\nproject)\\xe2\\x80\\x94technicians to care for and train\\nthe animals, neurobiologists to plan and\\nexecute the behavioral experiment, elec-\\ntrical and optical engineers to construct\\nand maintain the microscopes to identify\\nfunctional\\nregions and image cellular-\\nlevel activity, neurosurgeons to precisely\\nplace transparent windows into murine\\nskulls, mechanical engineers to build the\\ngimbals, reticules, and other widgets to\\nreproducibly return to the same set of\\nneurons over multiple trials, anatomists\\nand annotators to localize responses\\nwithin the 3D brain, software engineers\\nto harness and massage the massive\\ndata stream from all\\ninstruments into a\\ncommon laboratory information manage-\\nment system, data scientists to extract\\nthe tiny fraction of relevant information,\\nand modelers and theoreticians to carry\\nout statistical analyses and build neural\\nnetwork and other models to analyze\\nand replicate the data.', '2007)\\nand more than 15,000 unique monthly vis-\\nitors to the online resource.\\nit\\ncould be argued that the Allen Mouse\\nBrain Atlas satis\\xef\\xac\\x81es Sydney Brenner\\xe2\\x80\\x99s\\nfamous CAP criteria pertaining to large-\\nscale surveys: complete coverage of all\\ngenes throughout\\nthe brain, accurate\\nprobes (i.e., with high sensitivity and\\nspeci\\xef\\xac\\x81city), and maintained as a curated\\nand permanent resource.\\n\\nIndeed,\\n\\nBuilding on the success of the Allen\\nMouse Brain Atlas,\\nthe Allen Institute\\nre\\xef\\xac\\x81ned and adapted this high-throughput,\\nscalable, and robust platform to create\\nadditional cartographies, comprehen-\\nsively mapping transcriptional expression\\npatterns within a three-dimensional coor-\\ndinate system in the developing mouse\\n\\n\\x0c(http://observatory.brain-map.org/) in the\\nopen-source Neurodata Without Borders\\ndata format (Teeters et al., 2015) features\\nthe calcium activity of more than 30,000\\nindividual neurons responding to a battery\\nof visual stimuli,\\nincluding static and\\nmoving gratings, sparse noise, natural\\nscenes, and the movie Touch of Evil.', ""b'Neuron\\n\\nNeuroView\\n\\nBig Science, Team Science,\\nand Open Science for Neuroscience\\n\\nChristof Koch1,* and Allan Jones1\\n1Allen Institute for Brain Science, Seattle, WA 98109, USA\\n*Correspondence: christofk@alleninstitute.org\\nhttp://dx.doi.org/10.1016/j.neuron.2016.10.019\\n\\nThe Allen Institute for Brain Science is a non-pro\\xef\\xac\\x81t private institution dedicated to basic brain science with an\\ninternal organization more commonly found in large physics projects\\xe2\\x80\\x94large teams generating complete,\\naccurate and permanent resources for the mouse and human brain.""]"
25,24,36,24_doi_10_org_nhttps,"['doi', '10', 'org', 'nhttps', 'https', '1037', 'ijzerman', 'pbio', 'forscher', '1371']","['http\\ns://doi.org/10.2139/ssrn.3961574 \\n\\nMoshontz, H., Campbell, L., Ebersole, C. R., Ijzerman, \\nH., Urry, H. L., Forscher, P. S., Grahe, J. E., McCarthy, \\nR.', '\\n\\nhttps://doi.org/10.1371/journal.pbio.2006843 \\n\\nKlein, O., Hardwicke, T. E., Aust, F., Breuer, J., Danielsson, H., Mohr, A. H., IJzerman, H., \\n\\nNilsonne, G., Vanpaemel, W., & Frank, M. C. (2018).', 'https://doi.org/10.1037/0022-006X.46.4.806 \\n\\nMoshontz, H., Campbell, L., Ebersole, C. R., IJzerman, H., Urry, H. L., Forscher, P. S., Grahe, J.']"
26,25,35,25_teams_team_teamwork_handbook,"['teams', 'team', 'teamwork', 'handbook', 'coaching', 'members', 'coordination', 'taskwork', 'larger', 'tasks']","['Essentially, successful teaming requires monitoring and managing \\nthese emergent states (coaching, cognition, conflict, cooperation, and coordination) \\nby all team members.\\n\\nPlanning  a  team\\xe2\\x80\\x99s  activities/goals/tasks  takes  work.', 'Teamwork \\nidentifies the interactions required among team members to achieve their tasks, whereas \\ntaskwork involves the activities that must be completed to complete the team\\xe2\\x80\\x99s task or \\nobjective.', 'Teamwork relates to team member interactions, the sharing of information \\nrequired at any point in time for team members to complete their tasks, the knowledge \\nof who has what skills so that they can easily be identified when required, and basic com-\\nmunication among team members throughout the process.']"
27,26,33,26_nr_na_nt_no,"['nr', 'na', 'nt', 'no', 'nu', 'ne', 'nn', 'nl', 'nc', 'ns']","['\\n\\nCollabra: Psychology\\n\\n3\\n\\nl\\n\\nD\\no\\nw\\nn\\no\\na\\nd\\ne\\nd\\n\\n \\nf\\nr\\no\\nm\\nh\\n\\n \\n\\nt\\nt\\n\\np\\n\\n:\\n/\\n/\\n\\no\\nn\\n\\nl\\ni\\n\\n.\\n\\nn\\ne\\nu\\nc\\np\\nr\\ne\\ns\\ns\\n.\\ne\\nd\\nu\\n/\\nc\\no\\n\\nl\\nl\\n\\n/\\n\\na\\nb\\nr\\na\\na\\nr\\nt\\ni\\nc\\ne\\n-\\np\\nd\\n\\nl\\n\\nf\\n/\\n\\n/\\n\\n/\\n\\n/\\n\\n8\\n1\\n5\\n7\\n5\\n3\\n8\\n7\\n6\\n7\\n4\\n2\\n7\\n/\\nc\\no\\n\\nl\\nl\\n\\na\\nb\\nr\\na\\n_\\n2\\n0\\n2\\n2\\n_\\n8\\n_\\n1\\n_\\n5\\n7\\n5\\n3\\n8\\np\\nd\\n\\n.\\n\\nf\\n \\n\\nb\\ny\\n \\ng\\nu\\ne\\ns\\nt\\n \\n\\n \\n\\no\\nn\\n0\\n4\\n \\nJ\\na\\nn\\nu\\na\\nr\\ny\\n \\n2\\n0\\n2\\n3\\n\\n\\x0cA Roadmap to Large-Scale Multi-Country Replications in Psychology\\n\\nWe suggest that authorship be granted to all collabora-\\ntors who contribute substantially to any crucial parts of the \\nstudy.', '\\n\\nCollabra: Psychology\\n\\n5\\n\\nl\\n\\nD\\no\\nw\\nn\\no\\na\\nd\\ne\\nd\\n\\n \\nf\\nr\\no\\nm\\nh\\n\\n \\n\\nt\\nt\\n\\np\\n\\n:\\n/\\n/\\n\\no\\nn\\n\\nl\\ni\\n\\n.\\n\\nn\\ne\\nu\\nc\\np\\nr\\ne\\ns\\ns\\n.\\ne\\nd\\nu\\n/\\nc\\no\\n\\nl\\nl\\n\\n/\\n\\na\\nb\\nr\\na\\na\\nr\\nt\\ni\\nc\\ne\\n-\\np\\nd\\n\\nl\\n\\nf\\n/\\n\\n/\\n\\n/\\n\\n/\\n\\n8\\n1\\n5\\n7\\n5\\n3\\n8\\n7\\n6\\n7\\n4\\n2\\n7\\n/\\nc\\no\\n\\nl\\nl\\n\\na\\nb\\nr\\na\\n_\\n2\\n0\\n2\\n2\\n_\\n8\\n_\\n1\\n_\\n5\\n7\\n5\\n3\\n8\\np\\nd\\n\\n.\\n\\nf\\n \\n\\nb\\ny\\n \\ng\\nu\\ne\\ns\\nt\\n \\n\\n \\n\\no\\nn\\n0\\n4\\n \\nJ\\na\\nn\\nu\\na\\nr\\ny\\n \\n2\\n0\\n2\\n3\\n\\n\\x0cA Roadmap to Large-Scale Multi-Country Replications in Psychology\\n\\ntural  approach  in  mind,  it  can  be  difficult  for  researchers \\nto  globalise  their  samples  at  later  stages.', 'https://doi.org/10.1038/\\ns41562-021-01092-x \\n\\nCollabra: Psychology\\n\\n16\\n\\nl\\n\\nD\\no\\nw\\nn\\no\\na\\nd\\ne\\nd\\n\\n \\nf\\nr\\no\\nm\\nh\\n\\n \\n\\nt\\nt\\n\\np\\n\\n:\\n/\\n/\\n\\no\\nn\\n\\nl\\ni\\n\\n.\\n\\nn\\ne\\nu\\nc\\np\\nr\\ne\\ns\\ns\\n.\\ne\\nd\\nu\\n/\\nc\\no\\n\\nl\\nl\\n\\n/\\n\\na\\nb\\nr\\na\\na\\nr\\nt\\ni\\nc\\ne\\n-\\np\\nd\\n\\nl\\n\\nf\\n/\\n\\n/\\n\\n/\\n\\n/\\n\\n8\\n1\\n5\\n7\\n5\\n3\\n8\\n7\\n6\\n7\\n4\\n2\\n7\\n/\\nc\\no\\n\\nl\\nl\\n\\na\\nb\\nr\\na\\n_\\n2\\n0\\n2\\n2\\n_\\n8\\n_\\n1\\n_\\n5\\n7\\n5\\n3\\n8\\np\\nd\\n\\n.\\n\\nf\\n \\n\\nb\\ny\\n \\ng\\nu\\ne\\ns\\nt\\n \\n\\n \\n\\no\\nn\\n0\\n4\\n \\nJ\\na\\nn\\nu\\na\\nr\\ny\\n \\n2\\n0\\n2\\n3\\n\\n\\x0cA Roadmap to Large-Scale Multi-Country Replications in Psychology\\n\\nScheel, A. M., Schijen, M. R. M. J., & Lakens, D. (2021).']"
28,27,32,27_interventions_implicit_preferences_bias,"['interventions', 'implicit', 'preferences', 'bias', 'reducing', 'intervention', 'significant', 'effective', 'judgment', 'reduce']","['Reducing implicit racial preferences: I.', '\\n\\nResearch contests to reduce implicit \\nrace preferences (Lai et al., 2014, 2016) \\n\\nAd-hoc \\n\\nA series of contests to develop the most effective interventions to \\nreduce implicit race preferences.', '(2014)\\n\\nContest to identify the most effective \\n\\n8 of 17 interventions effective in the short term \\n\\nintervention to reduce implicit preferences \\nfor Whites over Blacks\\n\\nbut none effective a day or more after the \\nintervention; teams were able to iteratively \\nimprove their interventions between rounds.\\n\\nsuccessfully replicate a given behavioral effect (Bench, \\nRivera, Schlegel, Hicks, & Lench, 2017; see also Klein, \\nVianello,  Hasselman,  &  Nosek,  2018),  and  crowds  of \\ninvestigators do not exhibit measurably different \\xe2\\x80\\x9cflair\\xe2\\x80\\x9d \\nat  designing  studies  that  obtain  significant  findings \\n(Landy et\\xc2\\xa0al., 2018).\\n\\nThese  null  findings  are  surprising\\xe2\\x80\\x94there  must  be \\nsome point at which a crowd project becomes overly \\ninclusive  and  insufficiently  expert  members  compro-\\nmise overall quality.']"
29,28,31,28_preregistration_registered_registration_pre,"['preregistration', 'registered', 'registration', 'pre', 'reports', 'report', 'exploratory', 'descriptive', 'testing', 'plans']","['Registered reports.', 'Although descriptive and exploratory research (rather than \\n\\n \\n\\n \\n\\n6 \\n\\n\\x0cconfirmatory experiments) may not fit with current norms of pre-registration, many aspects of \\n\\nresearch plans can be registered before embarking on an exploratory or descriptive study.', '\\n\\nAlthough most preregistration templates focus on hypothesis testing for randomized experiments, \\n\\nguidelines on pre-registration of secondary data analyses (Akker et al., 2021), longitudinal \\n\\nresearch (Petersen et al., 2022), and descriptive, discovery science (Kosie & Lew-Williams, 2022) \\n\\nare emerging.']"
30,29,31,29_peer_review_preprints_by,"['peer', 'review', 'preprints', 'by', 'article', 'quadrant', 'reviews', 'colleagues', 'right', 'your']","['Open peer review, in which \\nanyone  can  publicly  comment  on  a  scientific  manu-\\nscript  or  article,  falls  into  the  bottom-right  quadrant, \\nand  crowd  review  by  experts  carefully  chosen  by  a \\njournal editor falls into the top-right quadrant.', 'Original  authors  would  have  the \\nopportunity to update their article in light of new evi-\\ndence or arguments, with older versions archived, as in \\nthe Living Reviews group of journals in physics.\\n\\nIn contrast to such a radical bottom-right-quadrant \\napproach (open communication, highly inclusive), top-\\nright-quadrant versions of peer review would invite a \\ncrowd of topic experts carefully selected by a journal \\neditor.', 'This suggests cautious \\noptimism in moving down the vertical axis of Figure 1 \\nto  allow  for  written  work  from  unconventional  con-\\ntributors, with the degree of inclusiveness varying by \\nthe technical expertise and topic knowledge required \\nfor a given article.\\n\\nPeer review\\nIn  the  current  system  of  academic  peer  review,  an \\nunpublished manuscript is submitted to a journal and \\nevaluated by the editor and usually two to five external \\nreferees,  each  of  whom  provides  detailed  feedback, \\noften  over  multiple  rounds  of  revisions  and  serially \\nacross multiple journals.']"
31,30,30,30_journal_review_economic_60,"['journal', 'review', 'economic', '60', 'harvard', 'management', 'x80', 'xe2', 'electronic', 'ssrn']","['Harvard Business Review, 92, 60\\xe2\\x80\\x9368.\\n\\nChurch, G. M. (2005).', 'American Economic Review, 107(5), 60\\xe2\\x80\\x9364.', 'Journal of Economic \\nPsychology.']"
32,31,30,31_funding_nfunding_grants_funds,"['funding', 'nfunding', 'grants', 'funds', 'grant', 'spend', 'wahls', 'to', 'for', 'proposals']","['Most \\nscience grantmakers also rely on competitive peer review to select the most \\xe2\\x80\\x9cworthy\\xe2\\x80\\x9d projects, a \\nfunding model that risks inefficiency because it encourages grantwriters to spend more time on \\ngrants than the activities the grants would fund (Gross & Bergstrom, 2019).', 'This  sort  of  detailed \\naccounting is a necessary precursor for the acceptance \\nof increasingly long author lists that are already com-\\nmonplace in fields such as high-energy physics.\\n\\nDistribution of grant funding\\nEmpirical  evidence  suggests  that  distributing  grant \\nfunding more evenly would increase the total return on \\ninvestment  in  terms  of  scientific  knowledge  (Wahls, \\n\\nSelection and promotion criteria\\nIn  addition  to  traditional  metrics  of  scholarly  merit, \\nsearch  and  promotion  committees  should  take  into \\n\\n\\x0c726 \\n\\nUhlmann et al.\\n\\naccount an applicant\\xe2\\x80\\x99s contributions to conducting rig-\\norous  research  and  making  science  better.', 'The funding models could entail what is most \\nfamiliar to academic scientists: designating some team members as grantwriters who spend part \\nof their time identifying and applying for large grants to support the big team science \\norganization.']"
33,32,29,32_2018_2019_npopkin_ninnocentive,"['2018', '2019', 'npopkin', 'ninnocentive', 'yildiz', 'behave', 'wu', 'oh', 'vol', 'ntable']","['(2018).', '(2018).', '(2018).']"
34,33,29,33_org_10_doi_https,"['org', '10', 'doi', 'https', '1177', '2021', 'huber', 'ramos', 'xc4', 'van']","['\\n\\nhttps://doi.org/10.1056/NEJMp1608766 \\n\\nEspinosa, J. P. A., Levcovitz, G. B., Bianchi, R.-M., Brock, I., Carli, T., Castro, N. F., Ciocio, \\n\\nA., Colautti, M., Menezes, A. C. D. S., da Fonseca, G. D. O., Alves, L. D. M., Hoecker, \\n\\nA., Ramos, B. L., Pinh\\xc3\\xa3o, G. L. L., Maidantchik, C., Malek, F., McPherson, R., Picco, G., \\n\\n& Santos, M. T. D. (2020).', 'http\\ns://doi.org/10.1177/2515245919900809 \\n\\nMenkveld, A. J., Dreber, A., Holzmeister, F., Huber, J., \\n\\nJohanneson, M., Kirchler, M., Razen, M., Weitzel, U., \\nAbad, D., Abudy, M. (Meni), Adrian, T., Ait-Sahalia, \\nY., Akmansoy, O., Alcock, J., Alexeev, V., Aloosh, A., \\nAmato, L., Amaya, D., Angel, J. J., \\xe2\\x80\\xa6 Bao, L. (2021).', '\\nhttps://doi.org/10.1098/rsos.181386 \\n\\nTsui, A. S. M., Carstensen, A., Kachergis, G., Abubakar, \\nA., Asnake, M., Barry, O., Basnight-Brown, D., Bentu, \\nD., Bergmann, C., Binan Dami, E., Boll-Avetisyan, N., \\nde Jongh, M., Diop, Y., Herrmann, E., Jang, C., Kizito, \\nS., Lamba, T., Maliwichi-Senganimalunje, L., \\nMarangu, J., \\xe2\\x80\\xa6 Frank, M. C. (2021).']"
35,34,28,34_academy_proceedings_national_sciences,"['academy', 'proceedings', 'national', 'sciences', 'usa', 'royal', '115', 'society', '1098', 'rsos']","['Proceedings  of \\nthe National Academy of Sciences, USA,  15,  2607\\xe2\\x80\\x932612.', 'Proceedings  of \\nthe National Academy of Sciences, USA, 115, 2600\\xe2\\x80\\x932606.', 'Proceedings of the National Academy of Sciences, 115(11), 2600\\xe2\\x80\\x932606.']"
36,35,27,35_effect_results_nprediction_predictions,"['effect', 'results', 'nprediction', 'predictions', 'size', 'naggregated', 'anticipated', 'effects', 'xa0al', 'sizes']","['(2015)\\n\\nPrediction market to see whether independent \\n\\nAggregated predictions accurately anticipated \\n\\nscientists could forecast the results of the \\nReproducibility Project: Psychology\\n\\nreplication results\\n\\n(continued)\\n\\n\\x0c719\\n\\nCrowdsourcing Science \\n\\nTable 2.', '(2018)\\n\\n(2018b)\\n\\nMethod\\n\\nKey result(s)\\n\\nPrediction market to see whether independent \\nscientists could forecast replication results in \\nexperimental economics\\n\\nAggregated predictions accurately anticipated \\n\\nreplication results\\n\\nDellaVigna and Pope \\n\\nPrediction survey to see whether forecasters \\n\\nAggregated predictions anticipated research \\n\\nLandy et\\xc2\\xa0al.', '(2018)\\n\\nPrediction survey to see whether independent \\n\\nAggregated predictions accurately anticipated \\n\\ncould anticipate the effects of treatment \\nconditions on worker productivity\\n\\nPrediction survey to see whether scientists \\ncould forecast the size of political biases \\nin scientific abstracts and to gauge their \\nreactions to the research results\\n\\nscientists could predict the results of \\nconceptual replications\\n\\nPrediction market to see whether independent \\nscientists could forecast results replications \\nof social-science articles in Science and \\nNature\\n\\ncould anticipate the effects of treatment \\nconditions on worker productivity as \\nwell as moderation by their demographic \\ncharacteristics\\n\\noutcomes; expert behavioral scientists, \\ndoctoral students, and Mechanical Turk \\nworkers similarly accurate\\n\\nForecasters accurately predicted that \\n\\nconservatives would be explained more, \\nand explained in more negative terms, in \\nscientific abstracts in social psychology; they \\nalso significantly overestimated the size of \\nboth effects but updated their beliefs in light \\nof the new evidence\\n\\noverall outcomes, including variability in \\nresults across different study designs testing \\nthe same hypothesis\\n\\nAggregated predictions accurately anticipated \\n\\nreplication results\\n\\neffects but overestimated the importance of \\ndemographic moderators; academic seniority \\ndid not moderate forecasting accuracy\\n\\nDellaVigna and Pope \\n\\nPrediction survey to see whether forecasters \\n\\nAggregated predictions anticipated treatment \\n\\nForsell et\\xc2\\xa0al.']"
37,36,27,36_nature_x80_xe2_508,"['nature', 'x80', 'xe2', '508', '7569', 'n445', '466', 'frontiers', 'environment', 'nmadisen']","['Nature\\n445, 168\\xe2\\x80\\x93176.\\n\\nMadisen, L., Zwingman, T.A., Sunkin, S.M., Oh,\\nS.W., Zariwala, H.A., Gu, H., Ng, L.L., Palmiter,\\nR.D., Hawrylycz, M.J., Jones, A.R., et al.', 'Nature 508, 517\\xe2\\x80\\x93520 (2014).', 'Nature 508, 199\\xe2\\x80\\x93206.\\n\\nOh, S.W., Harris, J.A., Ng, L., Winslow, B., Cain, N.,\\nMihalas, S., Wang, Q., Lau, C., Kuan, L., Henry,\\nA.M., et al.']"
38,37,26,37_leadership_leaders_organization_unaccountable,"['leadership', 'leaders', 'organization', 'unaccountable', 'values', 'stakeholders', 'those', 'people', 'if', 'power']","['However, to mitigate the risk of a lack of accountability, \\ncentralization of leadership must be accompanied with mechanisms to hold leadership \\naccountable for its decisions if those leaders pursue directions with which important stakeholders \\ndisagree.', 'Once articulated, these values can \\n\\n \\n\\n\\x0c13 \\n\\nallow the organization\\xe2\\x80\\x99s stakeholders to identify leadership mistakes that might require \\naccountability by allowing those stakeholders to evaluate whether leadership actions do indeed \\nfit with the organization\\xe2\\x80\\x99s values.', 'Finally, unaccountable leadership \\ncan have negative consequences for individual scholars who do not conform to leadership\\xe2\\x80\\x99s \\nperhaps narrow expectations of who is a proper \\xe2\\x80\\x9cbig team scientist\\xe2\\x80\\x9d \\xe2\\x80\\x93 especially if the leadership \\nhas influence over important mechanisms of career advancement (Azoulay et al., 2019).']"
39,38,26,38_2014_june__,"['2014', 'june', '', '', '', '', '', '', '', '']","['(2014).', '(2014).', '(2014).']"
40,39,26,39_6251_aac4716_349_xe2,"['6251', 'aac4716', '349', 'xe2', 'x80', 'xce', 'x931425', '1422', 'x84', '348']","['\\n\\nScience, 349(6251), aac4716\\xe2\\x80\\x93aac4716.', 'Searches for heavy ZZ and ZW resonances in the \\xe2\\x84\\x93\\xe2\\x84\\x93qq and \\xce\\xbd\\xce\\xbdqq \\n\\nfinal states in pp collisions at s = 13 $$ \\\\sqrt{s}=13 $$ TeV with the ATLAS detector.', '\\n\\nScience, 349(6251), aac4716.']"
41,40,25,40_country_multi_university_replications,"['country', 'multi', 'university', 'replications', 'department', 'replication', 'psychology', 'aarhus', 'school', 'countries']","['In  two  online  panel \\ndiscussions (Anand-Vembar et al., 2021; Jarke et al., 2021), \\nwe  brought  together  researchers  who  participated  in  and \\norganised  multi-country  replication  efforts  to  discuss  key \\naspects of such undertakings (see Table 1 for an overview).', 'Contributors who Participated in the Panel on Multi-Country Replication Studies.', 'Collabra: Psychology, 8(1).\\nhttps://doi.org/10.1525/collabra.57538\\n\\n \\n\\n \\n\\n \\n\\n \\n\\n \\n\\n , Gilad Feldman 8  \\n\\n , Shilaan Alzahawi 4  \\n\\n , Eduardo Garcia-Garzon 2,9  \\n\\n a , Shaakya Anand-Vembar 2,3  \\n\\n , Anna Louise Todsen 2,14  , Bojana Ve\\xc4\\x87kalov 2,15  \\n\\nMethodology and Research Practice \\nA Roadmap to Large-Scale Multi-Country Replications in \\n \\n \\nPsychology  \\nHannes Jarke 1,2  \\nAlexandra Carstensen 7  \\nSavannah Lewis 12,13  \\n1 Centre for Business Research, Judge Business School, University of Cambridge, Cambridge, UK, 2 Junior Researcher Programme, Cambridge, UK, \\n3 Department of Psychiatry, School of Medicine, Trinity College Dublin, Ireland, 4 Graduate School of Business, Stanford University, Stanford, CA, US, \\n5 Child and Adolescent Mental Health Center, Copenhagen University Hospital, Mental Health Services Copenhagen, Copenhagen, Denmark, \\n6 Department of Psychology and Mental Health, University of Manchester, Manchester, UK, 7 Psychology Department, University of California, San \\nDiego, La Jolla, CA, US, 8 Psychology Department, University of Hong Kong, 9 School of Health, Camilo Jos\\xc3\\xa9 Cela University, Villafranca del Castillo, \\nMadrid, Spain, 10 University of Connecticut, Storrs, CT, USA, 11 Department of Psychology, Monk Prayogshala, Mumbai, India, 12 Psychological Science \\nAccelerator, 13 International Collaboration Research Center, Ashland University, Ashland, OH, US, 14 School of Psychology and Neuroscience, Faculty \\nof Arts, University of St Andrews, St Andrews, UK, 15 Department of Psychology, University of Amsterdam, Amsterdam, The Netherlands, 16 Centre for \\nIntegrative Business Psychology, Aarhus University, Aarhus, Denmark, 17 Department of Management, Aarhus University, Aarhus, Denmark, \\n18 Environmental Psychology, Department of Cognition, Emotion, and Methods, Faculty of Psychology, University of Vienna, Vienna, Austria \\nKeywords: Replication, Multi-country, Psychology, Big Team Science, Underrepresented Populations, Research Methodology, Reproducibility, \\nInternational Research \\nhttps://doi.org/10.1525/collabra.57538 \\n\\n , Thomas Lind Andersen 2,5  \\n ,\\n\\n , Hansika Kapoor 10,11  \\n\\n , Janis H. Zickfeld 16,17  \\n\\n , Sandra J. Geiger 2,18  \\n\\n , Lana Bojani\\xc4\\x87 6  \\n\\n ,\\n\\nCollabra: Psychology \\nVol.']"
42,41,24,41_pubmed_al_jahanshad_et,"['pubmed', 'al', 'jahanshad', 'et', 'xc3', 'df', 'dams', 'xa4mann', 'x99connor', 'hibar']","['[PubMed: 30943078] \\n\\nRenter\\xc3\\xada ME, Schmaal L, Hibar DP, Couvy-Duchesne B, Strike LT, Mills NT, et al.', '[PubMed: 27137745] \\n\\nSchmaal L, Veltman DJ, van Erp TGM, S\\xc3\\xa4mann PG, Frodl T, Jahanshad N, et al.', '[PubMed: 26186169] \\n\\nSchmaal L, Hibar DP, S\\xc3\\xa4mann PG, Hall GB, Baune BT, Jahanshad N, et al.']"
43,42,24,42_2016_nkriegeskorte_stolovitzky_nvideo,"['2016', 'nkriegeskorte', 'stolovitzky', 'nvideo', 'wu', '1979', 'nmoshontz', 'game', 'quantum', 'moves']","['(2016).', '2016).', '(2016).']"
44,43,23,43_medicine_journal_clinical_x80,"['medicine', 'journal', 'clinical', 'x80', 'xe2', '47', 'translational', '263', 'neurotrauma', 'sports']","['New England Journal of Medicine, 375(24), 2315\\xe2\\x80\\x932317.', 'American Journal of Preventive Medicine, 35(2), S96\\xe2\\x80\\x93S115.', 'The American \\njournal of sports medicine, 47(5), 1236\\xe2\\x80\\x931247.']"
45,44,21,44_translation_back_target_translated,"['translation', 'back', 'target', 'translated', 'language', 'method', 'cultural', 'bilingual', 'translates', 'translating']","['\\nThe forward- and back-translation protocol (Brislin, 1970) \\nseems  to  be  the  most  commonly  utilised  method  in  psy-\\nchological research and requires at least one bilingual, as \\nwell  as  additional  native  speakers  of  the  target  language.', 'Back-translation for cross-cultural \\n\\nresearch.', 'Assessing the use of back translation: \\n\\nThe shortcomings of back translation as a quality \\ntesting method.']"
46,45,20,45_scholar_scholars_practitioners_new,"['scholar', 'scholars', 'practitioners', 'new', 'academic', 'emerging', 'collaborative', 'will', 'future', 'research']","['In addition, scholar-practitioners will also need to know how to show impact \\nfrom their collaborative efforts to better advance one\\xe2\\x80\\x99s self for promotion and tenure.', 'Scholars and scholar-practitioners will be better served to collaborate, joining \\nacademia with practice, to gain future funding for research.', 'During an academic\\xe2\\x80\\x99s transition and professional development, these \\nmethods will help emerging scholars, new to collaborative research, when facing the \\nteam science revolution.\\nThe Stakeholders\\nScholars and scholar-practitioners engaged in collaborative research.']"
47,46,20,46_addiction_crowdsourcing_cigarette_behavioral,"['addiction', 'crowdsourcing', 'cigarette', 'behavioral', 'alcohol', 'use', 'best', 'xac', 'xef', 'careless']","['Alongside optimism about the practical\\nbene\\xef\\xac\\x81ts that crowdsourcing may provide are uncertainties about the\\nvalidity of these approaches and how they can (and cannot) be used.\\nThis special issue includes a collection of articles on best practices and\\nemerging research using crowdsourcing for addictions research.\\n\\nArticles included in this special issue emphasize that data quality\\nand control methods are critical in crowdsourcing platforms to\\nensure data are reliable and valid.', 'Addiction scientists will bene\\xef\\xac\\x81t\\nfrom the adoption of best practice guidelines in crowdsourcing as well as developing novel approaches,\\nvenues, and applications to advance the \\xef\\xac\\x81eld.\\n\\nPublic Health Signi\\xef\\xac\\x81cance\\nThe following set of articles in this special issue describes best practice methods and novel applications\\nof crowdsourcing in addiction and psychological science.', '4, 379\\xe2\\x80\\x93380\\nhttps://doi.org/10.1037/pha0000582\\n\\nExperimental and Clinical Psychopharmacology\\n\\nINTRODUCTION\\n\\nCrowdsourcing Methods in Addiction Science:\\n\\nEmerging Research and Best Practices\\n\\nJustin C. Strickland1, Michael Amlung2, 3, and Derek D. Reed2, 3\\n\\n1 Department of Psychiatry and Behavioral Sciences, Johns Hopkins University School of Medicine\\n\\n2 Department of Applied Behavioral Science, University of Kansas\\n\\n3 Cofrin Logan Center for Addiction Research and Treatment, Lawrence, Kansas, United States\\n\\nCrowdsourcing platforms such as Amazon Mechanical Turk, Proli\\xef\\xac\\x81c, and Qualtrics Panels have become a\\ndominant form of sampling in recent years.']"
48,47,20,47_team_members_section_form,"['team', 'members', 'section', 'form', 'task', 'agreement', 'xa2', 'contract', 'along', 'x99s']","['This  exercise  also  begins  to  develop  the  team\\xe2\\x80\\x99s  cognition,  the  organized \\nunderstanding  of  collective  knowledge  among  team  members  (Mohammed  & \\nDumville, 2001).\\n\\nThe second section requires group members to identify what the team\\xe2\\x80\\x99s task goals \\nand process goals are.', 'The last section involves each team mem-\\nber agreeing to the information on the form and willing to adopt the changes recom-\\nmended by the team for the next cycle.\\n\\nThis process of having the team agree to the team\\xe2\\x80\\x99s goals, coordination, communi-\\ncation, and leadership begins the process of managing the emerging states of team-\\nwork.', 'A team or collaborative agreement should cover a team\\xe2\\x80\\x99s goals and schedule, \\ninformation  pertaining  to  who  will  perform  which  tasks  and  when,  credit  for  task \\naccomplishment acknowledged by peers (other team members), contingencies around \\ncommunicating, and any conflicts of interests (Bennett & Gadlin, 2012).\\n\\nThe team agreement contract in Figure 2 provides information on who is on the \\nteam along with the team\\xe2\\x80\\x99s name.']"
49,48,20,48_depression_major_white_disorder,"['depression', 'major', 'white', 'disorder', 'depressive', 'matter', 'stress', 'nabnormalities', 'httlpr', 'subcortical']","['White Matter Microstructural Differences in Major Depression: Meta-Analytic Findings from \\nEnigma-MDD DTI.', 'Subcortical \\n\\nbrain structure and suicidal behaviour in major depressive disorder: a meta-analysis from the \\nENIGMA-MDD working group.', 'Cortical \\n\\nabnormalities in adults and adolescents with major depression based on brain scans from 20 \\ncohorts worldwide in the ENIGMA Major Depressive Disorder Working Group.']"
